Name of TPS,Installed Capacity (MW),CIL,SSCL,Captive,E-Auction,Import,Others,Total,Total Consumption,Closing Stocks,Month,Year,SCCL
ADANI POWER LIMITED KAWAI TPP,1320.0,329.55400000000003,0,0,0.0,106.213,0.0,435.76700000000005,506.225,89.13,1,2024,
ANPARA C TPS,1200.0,324.7,0,0,0.0,0.0,0.0,324.7,348.84,362.62,1,2024,
ANPARA TPS,2630.0,1041.233,0,0,0.0,0.0,0.0,1041.233,908.531,875.82,1,2024,
BARKHERA TPS,90.0,38.64,0,0,0.0,0.0,0.0,38.64,30.93,31.26,1,2024,
CHHABRA-II TPP,1320.0,232.495,148.373,0,0.0,0.0,0.0,380.868,387.09000000000003,79.132,1,2024,
CHHABRA-I PH-1 TPP,500.0,346.13,0,0,0.0,0.0,0.0,346.13,221.91,560.23,1,2024,
CHHABRA-I PH-2 TPP,500.0,89.8,0,0,0.0,0.0,0.0,89.8,218.49,0.0,1,2024,
DADRI (NCTPP),1820.0,379.48999999999995,0,75.62,0.0,202.99,0.0,658.1,675.518,207.863,1,2024,
GH TPS (LEH.MOH.),920.0,0,0,249.424,0.0,0.0,0.0,249.424,276.807,260.69,1,2024,
GOINDWAL SAHIB TPP,540.0,171.3264,0,0,0.0,0.0,0.0,171.3264,169.8496,25.86,1,2024,
HARDUAGANJ TPS,1265.0,433.596,0,0,0.0,0.0,0.0,433.596,492.017,178.14,1,2024,
INDIRA GANDHI STPP,1500.0,593.6809999999999,0,0,0.0,0.0,0.0,593.6809999999999,505.306,477.19,1,2024,
KALISINDH TPS,1200.0,289.356,0,50.965,0.0,0.0,0.0,340.321,369.987,81.13,1,2024,
KHAMBARKHERA TPS,90.0,34.81,0,0,0.0,0.0,0.0,34.81,21.97,28.56,1,2024,
KOTA TPS,1240.0,527.55328,0,0,0.0,0.0,0.0,527.55328,560.1368,79.42,1,2024,
KUNDARKI TPS,90.0,12.01,0,0,0.0,0.0,0.0,12.01,15.36,38.34,1,2024,
LALITPUR TPS,1980.0,697.296,0,0,0.0,0.0,0.0,697.296,638.729,426.15,1,2024,
MAHATMA GANDHI TPS,1320.0,499.10799999999995,0,0,0.0,11.937,0.0,511.04499999999996,554.674,190.20000000000002,1,2024,
